-0.707118,0.155121,0.103386,0.68208
-0.744754,0.137436,0.0799701,0.648118
-0.772986,0.118956,0.0590163,0.62037
-0.793253,0.097282,0.0414282,0.599641
-0.813407,0.0746154,0.0255522,0.576324
-0.83781,0.0544683,0.00777346,0.543183
-0.869457,0.0390007,-0.0156426,0.492219
-0.898201,0.0253993,-0.0422079,0.436817
-0.914451,0.00922492,-0.0650083,0.399334
-0.912912,-0.0133187,-0.0785149,0.400312
-0.890818,-0.038608,-0.0792557,0.445726
-0.846513,-0.0601292,-0.0675281,0.524633
-0.831008,-0.0649994,-0.0613821,0.54903
-0.845979,-0.0530122,-0.057725,0.527425
-0.866012,-0.0268711,-0.0431403,0.497433
-0.863414,-0.0174975,-0.0350617,0.502973
-0.853305,-0.00676316,-0.0239843,0.520816
-0.838677,0.00693188,-0.0102641,0.544489
-0.823613,0.0255234,0.00712404,0.566534
-0.806561,0.0465983,0.0254656,0.588761
-0.783523,0.0670654,0.0404985,0.616404
-0.75712,0.0878697,0.0529596,0.64517
-0.731754,0.109655,0.0650238,0.669541
-0.713151,0.1324,0.0803096,0.683693
-0.707118,0.155121,0.103386,0.68208
